"Invoice Name","Total Currency","Total","Account Name","Price Book: Price Book Name","Invoice Date","Product: Product Name"
"Invoice - 00099617","USD","1240.00","Audi Bedford","Dealerware+ Audi","1/31/2025","Connected Car Solutions"
"Invoice - 00099617","USD","-1198.00","Audi Bedford","Dealerware+ Audi","1/31/2025","CVP Program CCD"
"Invoice - 00099617","USD","-400.00","Audi Bedford","Dealerware+ Audi","1/31/2025","CVP Program FM"
"Invoice - 00099617","USD","400.00","Audi Bedford","Dealerware+ Audi","1/31/2025","Fleet Management"
"Invoice - 00101703","USD","1240.00","Audi Bedford","Dealerware+ Audi","2/28/2025","Connected Car Solutions"
"Invoice - 00101703","USD","-1154.20","Audi Bedford","Dealerware+ Audi","2/28/2025","CVP Program CCD"
"Invoice - 00101703","USD","-400.00","Audi Bedford","Dealerware+ Audi","2/28/2025","CVP Program FM"
"Invoice - 00101703","USD","400.00","Audi Bedford","Dealerware+ Audi","2/28/2025","Fleet Management"
"Invoice - 00102888","USD","1240.00","Audi Bedford","Dealerware+ Audi","3/31/2025","Connected Car Solutions"
"Invoice - 00102888","USD","-1100.60","Audi Bedford","Dealerware+ Audi","3/31/2025","CVP Program CCD"
"Invoice - 00102888","USD","-400.00","Audi Bedford","Dealerware+ Audi","3/31/2025","CVP Program FM"
"Invoice - 00102888","USD","400.00","Audi Bedford","Dealerware+ Audi","3/31/2025","Fleet Management"
"Invoice - 00105115","USD","1240.00","Audi Bedford","Dealerware+ Audi","4/30/2025","Connected Car Solutions"
"Invoice - 00105115","USD","-1170.20","Audi Bedford","Dealerware+ Audi","4/30/2025","CVP Program CCD"
"Invoice - 00105115","USD","-400.00","Audi Bedford","Dealerware+ Audi","4/30/2025","CVP Program FM"
"Invoice - 00105115","USD","400.00","Audi Bedford","Dealerware+ Audi","4/30/2025","Fleet Management"
"Invoice - 00107380","USD","1240.00","Audi Bedford","Dealerware+ Audi","5/31/2025","Connected Car Solutions"
"Invoice - 00107380","USD","96.77","Audi Bedford","Dealerware+ Audi","5/31/2025","Connected Car Solutions"
"Invoice - 00107380","USD","-1301.80","Audi Bedford","Dealerware+ Audi","5/31/2025","CVP Program CCD"
"Invoice - 00107380","USD","-400.00","Audi Bedford","Dealerware+ Audi","5/31/2025","CVP Program FM"
"Invoice - 00107380","USD","400.00","Audi Bedford","Dealerware+ Audi","5/31/2025","Fleet Management"
"Invoice - 00108853","USD","1440.00","Audi Bedford","Dealerware+ Audi","6/30/2025","Connected Car Solutions"
"Invoice - 00108853","USD","86.67","Audi Bedford","Dealerware+ Audi","6/30/2025","Connected Car Solutions"
"Invoice - 00108853","USD","-1403.00","Audi Bedford","Dealerware+ Audi","6/30/2025","CVP Program CCD"
"Invoice - 00108853","USD","-400.00","Audi Bedford","Dealerware+ Audi","6/30/2025","CVP Program FM"
"Invoice - 00108853","USD","400.00","Audi Bedford","Dealerware+ Audi","6/30/2025","Fleet Management"
"Invoice - 00110925","USD","1640.00","Audi Bedford","Dealerware+ Audi","7/31/2025","Connected Car Solutions"
